gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000006555,0.12,0.13,0.0,0.0,0.11,0.04,0.0,0.0,0.0
ENSG00000006576,17.21,10.31,12.32,25.01,30.37,40.64,70.84,50.71,42.73
ENSG00000006606,9.28,3.03,0.0,0.0,0.0,0.28,0.1,0.47,0.34
ENSG00000006607,19.84,29.97,25.24,24.39,28.11,25.73,28.84,27.07,25.28
ENSG00000006611,0.79,0.51,0.85,0.32,0.18,0.93,0.14,0.58,2.8
ENSG00000006625,152.46,70.9,65.32,61.15,68.84,60.42,95.86,41.76,40.42
ENSG00000006634,89.97,49.58,46.71,44.4,19.04,14.22,31.7,8.02,8.54
ENSG00000006638,0.31,0.89,0.36,0.23,0.87,1.43,1.63,3.44,2.31
ENSG00000006652,39.32,16.76,20.85,22.52,18.82,16.38,21.5,12.76,20.71
ENSG00000006659,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006695,21.13,14.15,15.68,13.45,12.27,13.21,18.67,14.34,12.91
ENSG00000006704,25.26,34.88,31.59,28.27,37.0,29.82,15.83,19.35,20.89
ENSG00000006712,44.01,40.16,37.76,60.16,56.16,66.11,91.67,70.1,62.48
ENSG00000006715,51.35,42.96,47.53,66.11,63.49,54.26,44.5,63.37,58.59
ENSG00000006740,11.2,7.9,13.77,9.4,12.11,6.79,6.54,5.39,5.22
ENSG00000006744,103.97,58.34,56.65,72.43,70.36,63.88,70.44,54.61,49.25
ENSG00000006747,1.14,0.16,0.07,0.26,3.15,4.84,2.45,4.93,2.25
ENSG00000006756,1.32,5.85,11.78,11.18,13.99,15.05,10.11,18.77,16.33
ENSG00000006757,13.8,26.14,26.42,22.26,26.71,21.25,15.26,14.41,17.8
ENSG00000006788,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.03,0.05
ENSG00000006831,41.7,41.9,47.04,54.3,38.71,45.45,51.21,42.12,33.23
ENSG00000006837,0.96,0.71,3.19,4.39,2.32,3.62,2.57,2.56,3.75
ENSG00000007001,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0
ENSG00000007038,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007047,23.25,36.21,40.41,45.55,49.64,49.47,31.02,39.94,36.01
ENSG00000007062,59.95,31.19,34.08,53.74,88.39,39.9,7.1,1.66,1.36
ENSG00000007080,92.7,129.71,122.05,93.56,71.01,83.11,98.28,83.34,69.1
ENSG00000007129,0.0,0.08,0.97,0.16,0.28,0.32,0.07,0.33,0.0
ENSG00000007168,145.03,134.32,114.25,142.75,128.15,121.27,141.49,144.63,115.98
ENSG00000007171,1.08,0.25,1.03,0.15,0.12,0.09,0.04,0.0,0.04
ENSG00000007174,0.19,0.85,0.19,0.04,0.06,0.16,0.0,0.07,0.01
ENSG00000007202,68.22,45.78,48.53,53.9,52.76,47.48,58.13,50.83,46.58
ENSG00000007216,0.0,0.0,0.14,0.54,0.06,0.08,0.0,0.0,0.0
ENSG00000007237,5.34,25.16,8.18,17.09,31.23,37.4,35.25,52.64,56.49
ENSG00000007255,10.78,21.73,56.65,27.03,24.7,25.41,8.22,19.11,10.36
ENSG00000007264,16.81,4.33,3.2,0.82,0.52,0.19,0.0,0.0,0.1
ENSG00000007306,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007312,1.82,1.65,0.87,0.94,0.13,0.57,0.0,0.06,0.0
