gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000007168,124.09,132.47,124.58,200.95,215.21,109.79,145.38,109.2,108.56
ENSG00000007171,0.46,0.38,1.7,0.76,2.16,0.27,0.0,0.11,0.17
ENSG00000007174,0.33,1.75,0.02,0.22,0.3,0.08,0.0,0.68,0.05
ENSG00000007202,57.97,51.17,57.77,49.17,35.79,48.54,57.1,41.13,44.77
ENSG00000007216,0.0,0.0,0.11,0.54,0.12,0.05,0.0,0.0,0.03
ENSG00000007237,10.38,13.76,10.08,29.78,53.91,24.56,54.18,44.58,37.73
ENSG00000007255,9.89,14.3,41.87,34.09,24.06,31.8,16.27,13.16,13.31
ENSG00000007264,8.96,6.54,4.27,1.89,0.78,0.7,0.11,0.2,0.32
ENSG00000007306,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007312,1.43,1.02,0.87,0.79,1.25,0.51,0.8,0.0,0.07
ENSG00000007314,1.31,1.71,1.55,1.83,1.81,0.97,0.17,0.08,0.14
ENSG00000007341,16.46,10.85,13.49,15.08,7.83,13.65,18.59,13.86,14.08
ENSG00000007350,0.0,0.0,0.03,0.15,0.07,0.46,0.61,0.21,0.2
ENSG00000007372,0.72,0.3,0.32,0.24,3.24,8.71,3.63,13.53,33.12
ENSG00000007376,14.89,21.93,15.64,11.56,9.22,9.95,11.73,6.37,5.79
ENSG00000007384,22.97,31.38,27.87,55.12,63.93,20.67,20.38,13.46,13.61
ENSG00000007392,68.62,78.91,80.53,84.99,72.59,42.82,43.08,38.15,30.61
ENSG00000007402,8.88,14.46,14.79,7.45,5.49,6.99,2.63,1.61,4.34
ENSG00000007516,2.46,7.3,5.68,9.13,6.46,2.85,1.67,0.8,1.43
ENSG00000007520,34.88,51.96,47.26,49.9,38.0,45.66,49.47,30.94,34.08
ENSG00000007541,13.45,24.26,39.17,31.22,15.63,26.58,22.55,13.52,13.45
ENSG00000007545,8.17,8.44,16.77,17.34,5.47,9.73,11.29,9.36,7.35
ENSG00000007866,14.87,23.6,37.22,71.96,81.28,49.8,52.75,49.82,43.12
ENSG00000007908,0.0,0.02,0.02,0.13,0.04,0.02,0.09,0.16,0.0
ENSG00000007923,63.95,54.24,46.05,34.52,20.92,45.27,42.27,33.84,36.15
ENSG00000007933,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.04,0.15
ENSG00000007944,11.81,4.33,23.68,43.9,36.51,34.78,19.25,13.1,12.1
ENSG00000007952,0.0,0.0,0.08,0.0,0.21,0.68,2.1,0.31,0.0
ENSG00000007968,1.49,2.4,2.28,1.07,0.14,3.39,2.65,1.2,1.18
ENSG00000008018,222.11,228.54,215.51,182.68,148.57,153.69,166.68,89.92,106.18
ENSG00000008056,10.48,9.66,5.13,7.04,8.59,10.47,11.78,13.47,14.32
ENSG00000008083,121.2,53.96,61.49,38.01,14.33,12.38,8.31,5.44,4.22
ENSG00000008086,5.34,4.93,7.62,7.75,3.57,5.05,6.3,4.37,3.66
ENSG00000008118,0.26,0.08,1.83,3.01,8.13,4.48,1.62,0.31,0.34
