gene_id,d0,d2,d4,d10,d15,d20,d40,d60
ENSG00000006534,0.0,0.11,0.33,0.19,1.24,1.74,5.35,2.18
ENSG00000006555,0.16,0.09,0.08,0.0,0.11,0.0,0.05,0.02
ENSG00000006576,11.43,16.19,17.96,31.84,38.08,53.93,56.26,50.67
ENSG00000006606,4.94,1.5,0.86,0.0,0.23,1.03,0.0,0.22
ENSG00000006607,8.15,25.12,27.63,21.56,26.16,26.01,14.6,21.21
ENSG00000006611,1.92,0.86,0.51,0.07,2.85,0.62,3.39,8.1
ENSG00000006625,162.54,85.54,91.63,55.03,54.67,45.95,34.96,54.26
ENSG00000006634,61.78,76.77,81.17,12.12,17.17,13.2,7.73,7.13
ENSG00000006638,0.16,0.92,0.34,0.35,0.69,2.11,1.16,2.83
ENSG00000006652,24.37,39.4,33.9,17.44,20.56,23.79,21.58,14.42
ENSG00000006659,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006695,13.82,15.5,14.03,19.19,16.8,17.73,21.53,14.08
ENSG00000006704,21.1,32.43,34.35,46.62,46.69,27.58,40.18,35.28
ENSG00000006712,43.22,40.88,42.3,42.51,44.1,52.59,40.84,73.14
ENSG00000006715,30.39,43.09,73.85,53.63,49.57,41.95,44.19,51.76
ENSG00000006740,5.15,4.48,8.63,8.2,7.71,5.57,6.08,8.44
ENSG00000006744,70.41,86.23,69.3,84.98,59.96,59.28,55.96,65.06
ENSG00000006747,0.38,0.4,0.03,0.59,3.81,0.56,0.06,0.29
ENSG00000006756,0.94,9.04,16.32,19.89,22.59,23.55,25.56,28.86
ENSG00000006757,0.23,0.9,2.21,0.34,0.5,0.41,0.27,0.73
ENSG00000006788,0.0,0.0,0.02,0.08,0.05,0.0,0.0,0.0
ENSG00000006831,20.55,42.45,53.81,46.58,40.47,41.52,35.08,47.88
ENSG00000006837,1.34,2.12,3.39,4.4,3.95,2.73,3.04,4.27
ENSG00000007001,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.03
ENSG00000007038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007047,25.12,32.78,40.99,65.63,56.77,48.91,54.42,45.28
ENSG00000007062,46.2,43.15,79.37,7.42,21.44,8.32,1.35,1.15
ENSG00000007080,116.47,129.89,118.09,92.76,74.85,85.65,66.25,90.94
ENSG00000007129,0.31,0.16,2.18,1.8,0.86,0.54,0.0,0.11
ENSG00000007168,99.54,125.99,129.98,123.05,133.39,154.17,152.26,110.87
ENSG00000007171,0.73,0.34,4.17,0.13,0.35,0.02,0.15,0.71
ENSG00000007174,0.09,1.12,1.45,0.09,0.49,0.48,0.16,0.14
ENSG00000007202,25.0,57.84,58.94,47.98,43.46,45.06,36.28,66.63
ENSG00000007216,0.0,0.0,0.0,0.06,0.09,0.0,0.0,0.0
ENSG00000007237,2.44,25.88,12.41,10.21,26.47,49.68,42.61,33.85
ENSG00000007255,7.61,22.07,42.23,68.13,45.74,18.56,31.54,19.91
ENSG00000007264,6.43,4.06,1.62,3.04,0.53,0.04,0.46,0.0
ENSG00000007306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000007312,0.77,1.26,2.01,0.22,0.83,0.0,0.0,0.06
ENSG00000007314,1.89,1.45,2.65,1.18,0.65,0.75,0.16,0.24
ENSG00000007341,13.48,14.26,18.04,12.78,14.81,10.53,11.23,12.66
ENSG00000007350,0.0,0.28,0.07,0.0,0.4,0.06,0.21,0.67
ENSG00000007372,1.56,1.0,0.25,1.29,2.63,0.87,0.0,0.58
ENSG00000007376,4.09,20.55,18.2,12.42,13.25,11.9,7.93,12.84
ENSG00000007384,5.86,39.15,21.9,12.13,24.71,21.3,14.09,20.83
ENSG00000007392,68.4,101.65,101.59,49.57,62.8,27.19,26.97,33.6
ENSG00000007402,9.0,13.24,21.6,9.05,9.57,3.5,1.37,2.5
ENSG00000007516,1.39,7.55,3.38,2.86,1.91,0.98,3.5,1.64
ENSG00000007520,29.49,54.15,47.41,57.05,46.82,43.77,41.49,60.94
ENSG00000007541,11.98,20.96,27.71,21.99,21.79,14.55,14.61,20.19
ENSG00000007545,2.56,10.41,15.9,10.34,10.97,10.71,9.81,10.16
ENSG00000007866,5.97,22.55,27.68,75.67,63.22,81.88,68.23,50.98
ENSG00000007908,0.0,0.14,0.04,0.13,0.19,0.47,0.04,0.1
ENSG00000007923,127.12,73.42,64.51,52.56,37.18,36.26,33.04,32.68
ENSG00000007933,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.07
ENSG00000007944,7.63,3.23,9.86,14.99,25.3,14.78,12.87,24.48
ENSG00000007952,0.0,0.0,0.08,4.34,0.42,1.77,0.13,0.4
ENSG00000007968,1.6,2.08,4.21,0.41,2.2,1.47,0.29,1.4
ENSG00000008018,163.37,296.05,274.68,158.25,152.51,157.91,110.68,119.94
ENSG00000008056,25.93,8.99,6.26,28.15,14.2,14.21,29.18,30.65
ENSG00000008083,90.27,44.38,65.45,15.75,14.23,7.29,11.19,6.89
ENSG00000008086,3.86,6.33,9.07,2.82,6.08,5.59,4.3,4.27
ENSG00000008118,1.07,0.27,1.18,11.54,6.14,3.55,5.14,8.03
ENSG00000008128,44.71,25.36,33.95,11.76,17.46,14.83,10.33,21.37
ENSG00000008130,18.95,35.44,40.2,30.22,39.24,31.72,20.47,28.89
ENSG00000008196,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0
ENSG00000008197,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04
ENSG00000008226,0.16,0.46,1.77,0.62,0.51,0.24,1.22,0.86
ENSG00000008256,7.15,8.05,9.36,13.88,25.57,19.67,32.01,27.94
ENSG00000008277,11.46,7.76,9.13,6.98,2.64,2.07,2.49,3.51
ENSG00000008282,30.16,87.54,68.38,48.77,49.84,43.35,50.21,62.45
ENSG00000008283,2.9,8.35,9.67,2.82,4.32,3.65,2.48,6.07
ENSG00000008294,49.53,31.87,35.37,26.74,41.36,34.6,35.57,34.86
