gene_id,heart41_0,heart41_2,heart41_4,heart41_6,heart41_10,heart41_15,heart41_20,heart41_40
ENSG00000026652,816,1095,1992,1598,1653,1035,1156,631
ENSG00000026751,0,0,0,0,0,1,0,0
ENSG00000026950,164.15,19.96,56.78,57.84,116.93,29,142.89,731.81
ENSG00000027001,527,456,265,265,391,341,318,265
ENSG00000027075,436.32,94,745.37,1514,3073,2014,1023,204.56
ENSG00000027644,3,13,453,92,27,2,4,4
ENSG00000027697,472,582,576,428,573,338,386,856
ENSG00000027847,235,217,291,282,244,243,285,547
ENSG00000027869,137,55,28,20,62,9,8,1
ENSG00000028116,500,489,444,403,610,367,365,378
ENSG00000028137,78,55,83,4,7,2,27,38
ENSG00000028203,1149,1354,1378,1403,1662,1514,1876,2062
ENSG00000028277,216,61,60,12,8,4,45,149
ENSG00000028310,970.63,1049.23,1103.18,1090.88,880.28,502.57,613,810.62
ENSG00000028528,1347,1757,2326,1980,2114,1795,1533,2574
ENSG00000028839,552,585,405,328,242,140,168,197
