gene_id,heart18_0,heart18_2,heart18_4,heart18_6,heart18_10,heart18_15,heart18_20,heart18_40,heart18_60
ENSG00000010539,438,628,369,382,365,333,347,242,251
ENSG00000010610,113,44,148,194,727,1749,151,796,398
ENSG00000010626,5,75.91,105.09,97.75,187.58,239.76,145.54,205.11,149.43
ENSG00000010671,12,32,48,37,8,14,36,1,3
ENSG00000010704,13,14,31,24,132,148.04,66,129.03,135
ENSG00000010803,523,631,1700,2041,1809,1727,2576,1635,1201
ENSG00000010810,1319,1069,1995,2349,1550,1525,937,1964,1886
ENSG00000010818,299,204,198,605,528,939,1163,1616,1475
ENSG00000010932,1,1,7,20,357,250,10,9,42
ENSG00000011007,3354,2928,1923,2224,1786,1935,2749,2367,2201
ENSG00000011009,2349,2003,2041,1434.57,1231.66,1379,1196,931.83,662
ENSG00000011021,839,776,839.78,1104.82,1047,1127,1561,1095,949
ENSG00000011028,483,3319,10867,6369,17365,10959,3415,10440,8973
ENSG00000011052,78.44,113.98,264.16,142.88,97.39,135.18,170.56,73.96,26.17
ENSG00000011083,2,1,0,0,1,2,2,0,0
ENSG00000011105,867,1142,2206,1745,3715,5669,5202,6820,5367
ENSG00000011114,1670,1424,1615,1793,1655,1833,1730,2059,1899
ENSG00000011132,208,195,296,206.42,219,233,147,233,209.55
ENSG00000011143,289,321,622,444,351,322,257,312,235
ENSG00000011198,501,416,348,456,413,386,660,446,503
ENSG00000011201,2557.74,1902.32,206,482.7,384.85,529.79,1101.6,2128.79,1424.94
ENSG00000011243,1661,1753,2851,1910,2005,2214,1289,1898,1805
ENSG00000011258,2387,1469,1598,1660,1091,1349,677,834,642
ENSG00000011260,2624,1910,1305,938,428,368.99,549,292,265
ENSG00000011275,1037.92,1103.84,1415.18,1547.94,1672.29,1724.75,1601.33,1988.52,1807.41
ENSG00000011295,1747,1452,1482.67,1010,835,1029.62,917,844.64,599
ENSG00000011304,15307,13550,13508,8176,5812,4734,4404,3075,2980
ENSG00000011332,214,154,174,170,78,101,186,71,40
ENSG00000011347,278,212,460,386,285,217,122,32,37
ENSG00000011376,2321,1396,1531,1275,1172,1187,1691,1107,862
ENSG00000011405,6252,3348,2606,3361,1883,1868,2642,1510,1469
ENSG00000011422,122,104,51,38,42,131,528,309,172
ENSG00000011426,3533,3859,4433,4370,1840,1877,10440,3043,1210
ENSG00000011451,1331,1498,1785,1824,1710,1893,1812,2096,1951
ENSG00000011454,1247,1306,1608,2276,2541,3053,2880,2970,2598
ENSG00000011465,15,24,23,169,27112,18150,4230,32978,54440
ENSG00000011478,390,445,273,230,229,223,235,229,170
ENSG00000011485,2724,2715,2647,2185,1696.99,2012,2624.99,1729,1528
ENSG00000011523,773,757,735,755,567,760,577,791,738
ENSG00000011566,2464,1128,1090,1211,1286,1658,1516,1169,1141
ENSG00000011590,9,0,0,0,0,0,0,0,0
ENSG00000011600,0,0,0,1,14,17,1,2,0
ENSG00000011638,481,298,390,264,483,489,291,1558,1292
ENSG00000011677,257,85,37,12,4,0,1,0,1
ENSG00000012048,1145,1462.08,1242,905,383,460,972,338.04,216
ENSG00000012061,463,497,1066,1083,1206,1364,1021,1020,840
ENSG00000012124,3,2,0,0,3,55,6,1,0
ENSG00000012171,75,113,238.16,211,499,581,246,447,434
ENSG00000012174,428.64,447.3,573.05,991.51,839.61,1010.04,1368.43,756.73,738.85
ENSG00000012211,96,183,170,107,154,133,96,105,126
ENSG00000012223,29,1,1,0,0,0,0,0,0
ENSG00000012232,3457,3503,2594,3735,2198,2634,2285,3699,3159
ENSG00000012504,0,0,0,0,0,89,27,225,118
ENSG00000012660,5025,3671,2719,2720,2232,2239,2715,1845,1733
ENSG00000012779,10,7,110,11,24,19,2,0,1
ENSG00000012817,1167,1086,2002,2047,1920,1982,1394,2113,1963
ENSG00000012822,347,652,1582,2083,2629,3358,1061,3142,3097
ENSG00000012963,1429,1403,1498,1521,977.64,1238,2089,1490,1113
ENSG00000012983,1343,951,1267,2553,2161,1942,2071,1640,1507
ENSG00000013016,427,707,1076,1031,537,1032,2407.33,2853,1891
ENSG00000013275,2515,2120,1884,1821,1331,1660,2116,1469,1215
ENSG00000013288,135,248,625,552,999,1054,639,1519,1558
ENSG00000013293,100,299,17,0,1,4,1,3,2
ENSG00000013297,143.15,420.51,155.26,27.04,309.19,472.82,364.81,164,128.95
ENSG00000013306,2724,2111,2734,1381,1320,1406,1498,1283,924
ENSG00000013364,20,31,163.43,183,1382.55,1456,1362.79,2084,2432.48
ENSG00000013374,1340,1351,1692,1474,1069,1286,1158,1234,1170
