gene_id,d0,d2,d4,d6,d10,d15,d20,d40
ENSG00000011638,24.88,12.46,16.45,15.82,15.36,12.09,9.44,41.44
ENSG00000011677,5.24,1.87,1.29,0.72,0.0,0.0,0.36,0.0
ENSG00000012048,24.61,37.78,18.07,21.74,4.57,15.51,12.83,5.08
ENSG00000012061,49.83,30.86,84.01,95.99,89.33,80.3,75.33,102.04
ENSG00000012124,0.16,0.0,0.03,0.0,0.76,0.26,4.63,0.0
ENSG00000012171,2.14,1.86,10.39,10.07,10.12,7.92,22.52,43.38
ENSG00000012174,5.56,8.49,8.91,11.62,14.74,11.89,13.58,17.1
ENSG00000012211,6.37,7.3,5.61,5.88,6.74,3.88,7.27,4.08
ENSG00000012223,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000012232,48.82,37.7,25.24,57.36,77.31,54.47,36.47,46.28
ENSG00000012504,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.05
ENSG00000012660,143.54,131.36,92.88,91.6,75.9,43.77,68.45,50.27
ENSG00000012779,1.33,0.29,0.56,0.46,0.4,0.08,0.05,1.41
ENSG00000012817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
ENSG00000012822,11.87,24.36,87.12,65.18,76.27,85.22,86.28,134.41
ENSG00000012963,26.2,34.86,28.41,30.46,14.29,28.88,23.46,20.57
ENSG00000012983,14.03,23.03,20.87,33.9,31.22,19.09,29.91,27.62
ENSG00000013016,8.11,6.66,7.53,7.79,11.13,11.19,21.26,9.1
ENSG00000013275,109.15,79.67,76.42,79.16,56.81,63.83,74.25,66.77
ENSG00000013288,2.61,2.85,6.75,9.19,6.18,5.13,7.6,25.81
ENSG00000013293,0.31,1.11,0.04,0.14,0.01,0.0,0.16,0.2
ENSG00000013297,7.54,14.33,0.45,0.47,0.59,1.3,14.12,11.28
ENSG00000013306,177.57,109.52,98.23,112.17,98.86,77.1,77.49,70.6
ENSG00000013364,4.73,2.95,2.5,6.26,11.98,5.42,19.32,29.35
ENSG00000013374,44.34,66.0,72.01,69.98,58.38,38.37,56.25,48.28
ENSG00000013375,51.02,50.82,50.98,46.57,31.72,29.55,47.83,56.88
ENSG00000013392,2.82,2.97,4.17,5.06,6.85,6.05,7.77,6.22
ENSG00000013441,21.3,31.17,66.69,31.72,31.88,26.46,38.66,48.6
ENSG00000013503,9.31,10.15,13.51,9.91,10.69,11.76,6.59,10.82
ENSG00000013523,19.64,14.72,18.78,24.03,18.94,19.26,17.37,15.9
ENSG00000013561,16.15,24.94,22.13,39.63,54.53,45.99,68.57,33.52
