gene_id,d0,d2,d4,d6,d10,d15,d20,d40,d60
ENSG00000008710,7.06,16.99,26.34,19.4,21.74,26.85,28.68,35.38,34.61
ENSG00000008735,0.94,3.06,2.03,1.85,0.86,0.3,0.62,0.23,0.47
ENSG00000008838,48.77,78.94,105.55,107.21,88.38,43.99,72.29,50.3,38.26
ENSG00000008853,5.68,14.18,15.65,15.28,38.1,37.83,23.26,50.63,39.47
ENSG00000008869,7.13,5.59,8.11,8.47,9.02,8.73,9.57,10.21,6.46
ENSG00000008952,118.77,88.67,100.69,111.38,86.25,93.22,81.21,71.0,86.88
ENSG00000008988,2462.42,2622.54,2410.64,1933.49,1443.04,1326.6,1025.11,1257.16,1582.46
ENSG00000009307,639.39,401.9,638.39,575.62,597.17,571.55,435.07,533.63,484.78
ENSG00000009335,26.42,28.38,31.74,32.12,32.1,25.03,46.64,35.94,32.23
ENSG00000009413,3.16,2.53,5.58,9.32,10.59,18.9,12.57,12.0,13.96
ENSG00000009694,0.3,0.56,0.61,0.08,0.14,0.23,0.03,0.03,0.03
ENSG00000009709,0.09,0.74,1.56,0.69,0.29,0.0,0.01,0.0,0.0
ENSG00000009724,0.09,0.11,0.03,0.05,0.09,0.03,0.0,0.0,0.03
ENSG00000009765,0.0,0.05,0.0,0.0,0.01,0.01,0.0,0.0,0.0
ENSG00000009780,10.59,6.31,10.82,7.1,6.83,7.22,7.73,7.27,10.13
ENSG00000009790,0.0,0.02,0.0,0.12,0.0,0.18,0.16,0.0,0.08
ENSG00000009830,19.88,20.38,21.49,13.36,22.08,22.36,36.51,19.05,15.08
ENSG00000009844,67.82,46.49,55.54,59.44,47.46,53.91,46.86,45.7,53.35
ENSG00000009950,2.35,1.96,10.27,0.75,0.7,0.23,0.39,0.0,0.07
ENSG00000009954,62.96,45.33,59.98,50.26,44.0,34.62,68.17,33.12,32.41
ENSG00000010017,30.7,27.83,39.94,47.55,44.28,45.21,42.82,47.17,48.64
ENSG00000010030,0.35,0.13,0.14,0.0,0.0,0.04,0.24,0.0,0.21
ENSG00000010072,14.7,8.4,11.47,12.71,10.12,6.41,14.33,8.12,11.8
ENSG00000010165,31.41,39.78,30.66,27.43,17.27,10.28,23.85,13.07,14.04
ENSG00000010219,5.73,13.54,16.87,14.55,37.47,32.47,39.91,30.59,39.92
ENSG00000010244,200.64,156.07,209.92,164.96,125.57,95.57,105.84,65.59,61.02
ENSG00000010256,125.69,200.2,145.51,192.35,240.5,225.87,357.18,247.94,174.98
ENSG00000010270,40.82,49.88,55.34,97.07,67.78,54.44,94.81,51.31,41.05
ENSG00000010278,144.78,77.83,31.29,5.34,19.42,8.87,8.13,9.68,40.09
ENSG00000010282,0.0,0.09,0.0,1.03,17.09,36.18,3.58,61.65,77.03
ENSG00000010292,68.14,88.81,94.65,69.79,46.45,16.74,40.56,20.44,21.46
ENSG00000010295,4.97,7.64,12.34,10.26,11.75,6.96,9.17,7.87,10.33
ENSG00000010310,0.23,0.74,1.92,6.27,8.41,5.9,4.04,4.66,8.62
ENSG00000010318,10.63,11.64,19.23,19.91,28.22,29.64,15.91,17.09,25.04
ENSG00000010319,0.73,2.05,8.79,1.41,2.38,3.68,1.22,3.98,3.93
ENSG00000010322,24.68,38.39,60.8,77.21,61.83,41.22,51.58,48.54,55.65
ENSG00000010327,0.46,0.62,0.82,0.35,1.06,1.05,0.81,0.39,1.14
ENSG00000010361,11.52,31.36,17.61,20.45,18.46,12.27,22.01,12.38,18.85
ENSG00000010379,0.0,0.29,0.28,0.96,3.12,2.04,1.5,1.29,0.33
ENSG00000010404,17.08,20.21,37.7,38.63,27.87,24.29,17.28,29.84,43.62
ENSG00000010438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000010539,5.14,9.42,7.45,9.35,5.76,6.2,9.32,5.17,5.74
ENSG00000010610,3.0,1.31,2.23,2.47,6.24,3.31,0.28,0.4,1.47
ENSG00000010626,1.04,2.71,4.24,5.58,14.1,13.8,5.49,14.47,19.53
ENSG00000010671,0.77,0.58,0.17,0.08,0.25,0.75,0.32,0.1,0.46
ENSG00000010704,0.76,0.82,0.95,0.69,1.11,1.2,0.86,1.67,3.05
ENSG00000010803,17.88,19.24,45.94,95.74,72.18,62.35,85.98,41.39,37.25
ENSG00000010810,98.71,59.73,100.98,74.4,52.15,48.36,59.4,40.17,55.74
ENSG00000010818,2.88,1.16,3.31,4.35,6.35,10.26,9.62,12.64,10.48
ENSG00000010932,0.16,0.0,0.0,1.53,1.02,1.41,0.0,0.0,0.18
ENSG00000011007,31.72,32.01,31.79,34.86,26.52,20.83,44.35,26.97,29.5
ENSG00000011009,70.66,93.86,75.09,85.37,55.31,31.85,46.57,35.09,40.97
ENSG00000011021,11.55,8.4,12.75,14.98,18.11,14.19,29.9,15.17,12.37
ENSG00000011028,6.64,53.67,106.58,50.17,76.17,34.12,23.47,13.9,66.61
ENSG00000011052,0.55,3.47,4.84,8.72,14.23,4.05,7.35,2.16,2.18
ENSG00000011083,0.0,0.0,0.0,0.27,0.1,0.01,0.0,0.0,0.04
ENSG00000011105,11.76,16.51,19.82,24.1,118.38,117.86,117.18,236.03,168.84
ENSG00000011114,21.52,14.56,24.59,26.69,15.82,17.94,25.31,16.81,18.71
ENSG00000011132,4.4,14.16,12.68,11.52,8.02,4.2,10.26,7.18,7.93
ENSG00000011143,8.07,18.42,25.81,20.08,16.87,10.86,15.41,10.65,12.29
ENSG00000011198,11.95,10.65,10.74,9.98,7.12,6.84,12.96,8.44,17.63
ENSG00000011201,112.34,44.92,32.24,16.66,12.24,18.39,9.37,4.55,39.72
ENSG00000011243,83.35,72.38,110.39,89.48,98.63,74.64,65.17,74.59,93.57
ENSG00000011258,39.31,15.44,42.31,30.02,22.78,22.06,12.54,16.06,13.06
ENSG00000011260,80.79,62.15,64.92,45.3,29.88,15.15,13.99,9.51,11.07
ENSG00000011275,19.68,14.37,22.53,17.71,21.42,18.55,28.71,23.18,26.91
ENSG00000011295,40.67,39.86,40.04,29.53,39.43,34.3,27.48,26.49,24.32
ENSG00000011304,366.92,420.83,414.56,240.62,149.59,53.95,86.75,38.33,57.8
ENSG00000011332,3.68,6.76,7.93,5.82,4.32,2.38,9.71,2.2,1.49
