gene_id,rep1_d_13,rep1_d_20,rep1_d_30
ENSG00000142920.17,124,88,163
ENSG00000278997.1,11,3,6
ENSG00000116525.14,169,393,216
ENSG00000279179.1,5,13,9
ENSG00000284721.1,2,0,0
ENSG00000160094.15,896,1656,2227
ENSG00000270115.1,8,8,8
ENSG00000225313.5,56,56,116
ENSG00000134686.18,2784,3047,2033
ENSG00000284154.1,3,3,3
ENSG00000222112.1,4,11,23
ENSG00000233246.1,8,0,0
ENSG00000121903.14,100,137,254
ENSG00000121904.17,48,73,140
ENSG00000176256.10,0,0,1
ENSG00000231163.6,0,0,1
ENSG00000142698.15,1,0,0
ENSG00000163866.9,451,637,609
ENSG00000189280.3,3,2,0
ENSG00000188910.8,0,2,0
ENSG00000187513.9,72,17,12
ENSG00000116544.12,21,31,35
ENSG00000284773.1,23,18,2
ENSG00000241014.2,5,6,9
ENSG00000243749.1,1,0,1
ENSG00000163867.17,170,260,233
ENSG00000197056.11,313,212,377
ENSG00000284640.1,16,9,0
ENSG00000116560.11,11886,7834,7756
ENSG00000146463.12,1686,1770,3213
ENSG00000229994.1,19,32,22
ENSG00000227409.1,2,0,5
ENSG00000142687.18,1497,2262,3371
ENSG00000020129.16,665,1533,1291
ENSG00000239636.1,4,1,18
ENSG00000116819.8,33,11,17
ENSG00000126067.12,1904,2652,2045
ENSG00000142686.8,96,337,139
ENSG00000092853.14,404,315,586
ENSG00000134698.11,1282,906,1722
ENSG00000092847.13,1234,1697,2903
ENSG00000286899.1,1,1,2
ENSG00000126070.20,631,617,1534
ENSG00000271554.1,1,1,3
ENSG00000232862.5,0,4,0
ENSG00000092850.12,118,5,11
ENSG00000116863.11,466,581,467
ENSG00000171812.13,35,17,680
ENSG00000054116.12,701,864,767
ENSG00000116871.15,3709,5644,8676
ENSG00000054118.15,3805,3433,6197
ENSG00000231849.1,0,0,3
ENSG00000214193.11,424,221,357
ENSG00000286379.1,6,4,24
ENSG00000196182.11,1250,2020,2994
ENSG00000181817.6,367,510,343
